All,سب
None,"کوئی بھی نہیں"
"Allowed Scopes","اجازت سکوپس"
"You need more permissions to apply some of the rule updates.","رول کے کچھ اپ ڈیٹس کو لاگو کرنے کیلئے آپ کو مزید اجازت کی ضرورت ہے."
"More permissions are needed to save this item.","شے کو حذف کرنے کے لیے مزید اجازت کی ضرورت ہے."
"You need more permissions to access website ""%1"".","آپ کو ویب سائٹ تک رسائی حاصل کرنے کے لئے مزید اجازت کی ضرورت ہے ""%1""."
"Role Scopes","رول سکوپس"
Custom,"اپنی مرضی کے مطابق"
"Read Details","تفصیلات پڑھیں"
"Mark as Read","پڑھ کر نشان زد کریں"
"Are you sure?","کیا تمہیں یقین ہے؟"
Remove,مٹانا
"Messages Inbox","پیغامات ان باکس کرو"
"You have %1 new system messages","آپ کے پاس٪ 1 نۂے سسٹم پیغامات ہیں"
"You have %1 new system message","آپ کے پاس٪ 1 نۂے نظام کا پیغام ہے"
"Incoming Message","آنے والا پیغام"
close,"بند کریں"
Notifications,آگاہی
"The message has been marked as Read.","پیغام کو پڑھ کر نشان لگا دیا گیا ہے."
"We couldn't mark the notification as Read because of an error.","ایک غلطی کی وجہ سے ہم نوٹیفیکیشن کو نشان زدہ نہیں کر سکے کہ پڑھ لیا ہے."
"Please select messages.","براہ کرم پیغامات کو منتخب کریں."
"A total of %1 record(s) have been marked as Read.","مجموعی طور پر٪ 1 ریکارڈز کو نشان زد کیا گیا ہے کہ پڑھ لیا گیا ہے."
"Total of %1 record(s) have been removed.","تمام %1 ریکارڈز ہٹا لیے گۂے ہیں."
"We couldn't remove the messages because of an error.","ہم ایک غلطی کی وجہ سے پیغامات کو ہٹا نہیں سکتے ہیں."
"The message has been removed.","پیغام کو ہٹا دیا گیا ہے."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","آپ تمام سسٹم پیغامات کو دیکھ اور حل کر چکے ہیں۔ مہربانی فرما کر اس صفحہ کو تازہ کریں تا کہ تمام پیغامات کی فہرست کو صاف کیا جا سکے."
"1 Hour","1 گھنٹہ"
"2 Hours","2 گھنٹے"
"6 Hours","6 گھنٹے"
"12 Hours","12 گھنٹے"
"24 Hours","24 گھنٹے"
critical,اہم
major,بڑا
minor,معمولی
notice,نوٹس
"Wrong message type","غلط پیغام کی قسم"
"Wrong notification ID specified.","غلط نوٹیفیکیشن ID کی شناخت."
"One or more of the Cache Types are invalidated: %1. ","ایک یا زیادہ سے زیادہ کیشے کی اقسام کو باطل کر دیا گیا ہے: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","برائے مہربانی جاۂیں<a href=""٪1""> کیشے مینجمنٹ </a> اور کیشے کی اقسام کو تازہ کریں."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","ہم ایک یا زیادہ میڈیا فائلوں کو مطابقت پذیر کرنے میں ناکام تھے. براہ کرم تفصیلات کے لیے لاگ ان فائل کا حوالہ دیں."
"Synchronization of media storages has been completed.","میڈیا سٹوریجز کی مطابقت پذیری مکمل کردی گئی ہے."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","آپ کے ویب سرور کو غلط طریقے سے قائم کیا گیا ہے اور حساس فائلوں کو غیر مجاز تک رسائی کی اجازت دیتا ہے. براہ مہربانی اپنے ہوسٹنگ فراہم کرنے والے سے رابطہ کریں."
"System Messages:","سسٹم کے پیغامات:"
"Critical System Messages","نازک نظام کے پیغامات"
"Major System Messages","بڑے نظام کے پیغامات"
"System messages","سسٹم کے پیغامات"
Close,"بند کریں"
"See All (","سب دیکھیں ("
" unread)"," نہ پڑھا ہوا)"
"Show Toolbar","ٹول بار دکھائیں"
"Show List","فہرست دکھائیں"
"Use HTTPS to Get Feed","فیڈ حاصل کرنے کیلئے HTTPS کا استعمال کریں"
"Update Frequency","اپ ڈیٹ فریکوئنسی"
"Last Update","آخری اپ ڈیٹ"
Severity,سختی
"Date Added","تاریخ شامل کر دی ہے"
Message,پیغام
Actions,ایکشنز
"Manage Shopping Cart","شاپنگ ٹوکری کا انتظام کریں"
"Create Order","آرڈر بنائیں"
"We don't have as many of these as you want.","ہمارے پاس آپ کی درخواست کردہ مقدار دستیاب نہیں."
"You can't add this many to your cart.","آپ اس مقدار کو ٹوکری میں شامل نہیں کر سکتے."
"We can't add the item to your cart.","ہم اس شے کو آپ کی ٹوکری میں شامل نہیں کر سکتے."
"We can't find this wish list.","ہم اسے پسند کی فہرست میں تلاش نہیں کر سکے."
"Entity type model '%1' is not found","شے کے قسم کی ماڈل '%1' نہیں ملی"
Price,قیمت
Select,"منتخب کریں"
Quantity,مقدار
"Shipping Address","شپنگ ایڈریس"
"Shipping Method","بھیجنے کا طریقہ"
"Update Changes","تبدیلیوں کو اپ ڈیٹ کریں"
"Shopping Cart","خریداری کی ٹوکری"
"Are you sure you want to delete all items from shopping cart?","کیا آپ واقعی خریداری کی ٹوکری سے تمام اشیاء کو حذف کرنا چاہتے ہیں؟"
"Clear Shopping Cart","شاپنگ ٹوکری کو خالی کریں"
"Products in Comparison List","موازنہ کی فہرست میں مصنوعات"
"Recently Compared Products","حال ہی میں موازنہ گئے مصنوعات"
"Recently Viewed Products","حال ہی میں دیکھے گئے مصنوعات"
"Last Ordered Items","آخری آرڈرڈ اشیاء"
"Recently Viewed","حال ہی میں دیکھا گیا"
"Wish List","خواہش کی فہرست"
"Please select a store","برائے مہربانی ایک اسٹور منتخب کریں"
"Order Totals","آرڈر کل"
"Shipping Incl. Tax (%1)","ٹیکس سمیت شپنگ (%1)"
"Shipping Excl. Tax (%1)","شپنگ ٹیکس کو چھوڑ کر (%1)"
"New Credit Memo for Invoice #%1","انوائس کیلئے نیا کریڈٹ میمو #%1"
"New Credit Memo for Order #%1","آرڈر کیلئے نیا کریڈٹ میمو #%1"
"Refund Shipping (Incl. Tax)","رقم کی واپسی کی شپنگ (بشمول ٹیکس)"
"Refund Shipping (Excl. Tax)","رقم کی واپسی کی شپنگ (ٹیکس کو چھوڑ کر)"
"Submit Invoice","انوائس جمع کروائیں"
"Are you sure you want to send an invoice email to customer?","کیا آپ واقعی گاہک کو انوائس ای میل بھیجنا چاہتے ہیں؟"
"Credit Memo","کریڈٹ میمو"
Capture,قبضہ
"The invoice email was sent.","انوائس کا ای میل بھیجا گیا تھا۔"
"The invoice email wasn't sent.","انوائس کا ای میل نہیں بھیجا گیا تھا۔"
"Invoice #%1 | %2 | %4 (%3)","انوائس #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","اس بلاک کے لئے غلط پیرنٹ بلاک ہے."
"Order Statuses","آرڈر کی حیثیتں"
"Create New Status","نئی حیثیت بنائیں"
"Assign Status to State","اسٹیٹ کو حیثیت تفویض کریں"
"Save Status Assignment","حیثیت تفویض محفوظ کریں"
"Assign Order Status to State","اسٹیٹ کو آرڈر کی حیثیت تفویض کریں"
"Assignment Information","تفویض کی معلومات"
"Order Status","آرڈر کی حیثیت"
"Order State","آرڈر کی حالت"
